world-morning-01	C06-SearchResults	Browse by Category	106x106	1.00	also on C03, C04; carries the rose selection ring here
world-skin-01	C06-SearchResults	Browse by Category	106x106	1.00	also on C03, C04
world-sleep-01	C06-SearchResults	Browse by Category	106x106	1.00	also on C03, C04
world-table-01	C06-SearchResults	Browse by Category	106x106	1.00	also on C03, C04
world-gifts-01	C06-SearchResults	Browse by Category	106x106	1.00	also on C03, C04
world-global-select-01	C06-SearchResults	Browse by Category	106x106	1.00	also on C03, C04
prod-copper-vessel-01	C06-SearchResults	Search Results grid	385x232	1.66	also on C03, C04, C07
prod-linen-sheets-01	C06-SearchResults	Search Results grid	385x232	1.66	also on C04
prod-brass-kettle-01	C06-SearchResults	Search Results grid	385x232	1.66	also on C03, C04
prod-beeswax-candle-01	C06-SearchResults	Search Results grid	385x232	1.66	also on C03, C04
logo-rsnone-01	C06-SearchResults	App bar	186x94	1.98	extracted from mock; swap for production SVG
