prod-gift-box-01	C29-Notifications	Today / "order has been delivered" thumb	133x90	1.48	NEW SLOT; wrapped gift box with ribbon
prod-beeswax-candle-01	C29-Notifications	Today / "you earned a reward" thumb	133x90	1.48	also on C03 New at RSN rail
prod-carved-vase-01	C29-Notifications	Today / "new arrivals are here" thumb	133x90	1.48	NEW SLOT; carved vase with dried blossoms
prod-yak-blanket-01	C29-Notifications	This Week / "return request approved" thumb	133x90	1.48	also on C03 New at RSN rail
world-global-select-01	C29-Notifications	This Week / "exclusive offer" thumb	133x90	1.48	also on C03 Worlds row (118x118 circular there) - needs a crop that survives both
prod-glass-diffuser-01	C29-Notifications	This Week / "wallet has been updated" thumb	133x90	1.48	NEW SLOT; glass bottle with gold cap
prod-brass-kettle-01	C29-Notifications	Earlier / "Welcome to RSN One" thumb	133x90	1.48	also on C03 New at RSN rail
drop-stone-bowl-01	C29-Notifications	Earlier / "profile is complete" thumb	133x90	1.48	also on C03 Limited Discoveries rail
promo-quiet-table-01	C29-Notifications	Editorial banner, photo bleeds off the right	779x162	4.81	NEW SLOT; bowl + carved vase on pale ground; same asset as the C30 "Still need help?" banner
logo-rsnone-01	C29-Notifications	Back bar	186x94	1.98	extracted from mock; swap for production SVG
